accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_Ffom,age,gender,country,membership,language,sales,returned,returned_amount,pay_method,no_purchase,high_returns,short_sessions,churn_score,churn_risk
2017-03-15 00:02:49.712,4181,TCP  ,1.39.26.55,614,Android App,40,Female,CH,Normal,Spanish,0.0,Yes,2315.5,Debit Card,True,True,False,2,True
2017-03-15 00:04:47.728,2045,TCP  ,1.46.36.55,3369,Chrome,22,Male,AT,Premium,Spanish,0.0,Yes,157.92,Credit Card,True,True,True,3,True
2017-03-15 00:05:48.651,2603,TCP  ,1.55.199.202,515,Android App,21,Male,IT,Normal,Spanish,0.0,Yes,408.744,Others,True,True,True,3,True
2017-03-15 00:05:48.651,3837,TCP  ,1.55.244.52,702,Android App,32,Female,JP,Normal,Spanish,0.0,Yes,503.96,Credit Card,True,True,False,2,True
2017-03-15 00:06:06.706,3249,HTTP,1.9.139.245,2267,Mozilla Firefox,34,Female,NO,Premium,Spanish,0.0,Yes,35.168,Cash,True,True,False,2,True
2017-03-15 00:06:52.378,2214,HTTP,2.126.142.47,3237,Others,63,Male,US,Premium,Spanish,0.0,Yes,389.696,Debit Card,True,True,True,3,True
2017-03-15 00:06:40.209,2819,HTTP,2.137.104.119,21160,Others,--,Unknown,CH,Not Logged In,Spanish,0.0,No,0.0,Others,True,False,True,2,True
2017-03-15 00:07:28.530,3414,HTTP,2.176.220.192,1678,Microsoft Edge,22,Male,US,Premium,Italian,0.0,Yes,1503.25,Cash,True,True,False,2,True
2017-03-15 00:07:23.318,4546,HTTP,2.176.31.92,3185,Microsoft Edge,61,Male,IN,Premium,persian,0.0,Yes,25.92,Cash,True,True,False,2,True
2017-03-15 00:10:49.563,2037,HTTP,2.190.210.49,46,Others,50,Female,CH,Premium,English,0.0,Yes,328.224,Credit Card,True,True,True,3,True
2017-03-15 00:08:11.143,3141,HTTP,2.220.72.13,1586,Android App,24,Male,IT,Premium,English,0.0,Yes,24.84,Others,True,True,True,3,True
2017-03-15 00:09:37.154,3220,HTTP,2.31.158.224,2625,Mozilla Firefox,28,Female,AT,Premium,English,0.0,Yes,26.8,Credit Card,True,True,True,3,True
2017-03-15 00:09:37.000,2484,HTTP,2.35.177.172,2163,Mozilla Firefox,20,Female,IT,Premium,English,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 00:15:09.565,3648,HTTP,4.34.232.68,3119,IOS App,43,Female,IT,Premium,English,0.0,Yes,4355.168,Credit Card,True,True,False,2,True
2017-03-15 00:16:39.512,2472,HTTP,5.160.85.130,702,IOS App,61,Male,US,Normal,persian,0.0,Yes,56.56,Cash,True,True,True,3,True
2017-03-15 00:20:11.759,4665,HTTP,5.168.214.35,40,Safari,54,Male,RU,Premium,Chinese,0.0,Yes,714.3,Debit Card,True,True,False,2,True
2017-03-15 00:20:31.838,2402,HTTP,5.189.130.119,2843,Others,27,Female,JP,Premium,Chinese,0.0,Yes,22.05,Cash,True,True,True,3,True
2017-03-15 00:19:00.649,4224,HTTP,5.231.237.231,2267,Android App,68,Male,IN,Premium,Chinese,0.0,Yes,105.42,Credit Card,True,True,False,2,True
2017-03-15 00:19:20.358,3494,HTTP,5.239.102.120,3185,Android App,56,Female,PL,Premium,Chinese,0.0,Yes,241.568,Cash,True,True,False,2,True
2017-03-15 00:21:57.499,3745,HTTP,5.248.165.0,257,Android App,18,Female,CH,Premium,Russian,0.0,Yes,22.62,Cash,True,True,False,2,True
2017-03-15 00:21:39.481,2811,HTTP,5.44.38.68,543,Safari,47,Male,PL,Normal,Russian,0.0,No,0.0,Credit Card,True,False,True,2,True
2017-03-15 00:21:45.598,3626,HTTP,5.47.141.111,1988,IOS App,44,Female,US,Premium,Chinese,0.0,Yes,3.96,Debit Card,True,True,False,2,True
2017-03-15 00:22:47.859,1515,HTTP,5.71.190.187,2267,Mozilla Firefox,19,Female,CA,Premium,Spanish,0.0,Yes,105.584,Cash,True,True,True,3,True
2017-03-15 00:27:13.929,4551,HTTP,5.9.112.6,3065,Android App,56,Female,CH,Premium,Chinese,0.0,Yes,21.168,Debit Card,True,True,False,2,True
2017-03-15 00:22:39.526,1780,HTTP,5.9.145.132,92,Mozilla Firefox,38,Male,US,Normal,Chinese,0.0,Yes,107.424,Cash,True,True,True,3,True
2017-03-15 00:27:59.593,4243,HTTP,5.9.145.132,3065,IOS App,38,Female,CN,Premium,Chinese,0.0,Yes,243.384,Debit Card,True,True,False,2,True
2017-03-15 00:28:22.744,3311,HTTP,5.9.17.118,40,Microsoft Edge,51,Female,RU,Premium,Chinese,0.0,Yes,392.94,Credit Card,True,True,False,2,True
2017-03-15 00:26:28.329,2947,HTTP,5.9.17.118,389,Microsoft Edge,56,Male,CN,Premium,urdu,0.0,Yes,18.882,Cash,True,True,True,3,True
2017-03-15 00:25:52.096,2750,HTTP,8.12.245.15,1913,IOS App,51,Male,PL,Premium,Chinese,0.0,Yes,23.976,Cash,True,True,True,3,True
2017-03-15 00:25:54.270,4713,HTTP,8.29.127.23,1913,Chrome,47,Female,CA,Premium,Chinese,0.0,Yes,99.39,Credit Card,True,True,False,2,True
2017-03-15 00:26:33.784,2449,HTTP,8.37.225.226,2163,Android App,63,Female,CA,Premium,Spanish,0.0,Yes,15.216,Debit Card,True,True,True,3,True
2017-03-15 00:32:39.208,3048,HTTP,12.108.122.194,1506,Safari,58,Female,US,Premium,Spanish,0.0,No,0.0,Others,True,False,True,2,True
2017-03-15 00:35:17.999,3981,HTTP,14.102.109.226,2779,Android App,20,Female,CA,Premium,Spanish,0.0,Yes,51.84,Debit Card,True,True,False,2,True
2017-03-15 00:37:17.260,4537,HTTP,14.152.69.16,46,Microsoft Edge,64,Male,JP,Premium,Spanish,0.0,Yes,14.62,Cash,True,True,False,2,True
2017-03-15 00:34:39.480,3081,HTTP,14.152.69.55,556,Microsoft Edge,50,Female,AU,Normal,Spanish,0.0,Yes,83.72,Credit Card,True,True,True,3,True
2017-03-15 00:38:30.128,2852,HTTP,14.169.223.241,381,Safari,55,Female,RU,Premium,Spanish,0.0,Yes,59.184,Debit Card,True,True,True,3,True
2017-03-15 00:36:12.553,1608,HTTP,14.187.3.212,2267,Chrome,53,Female,CA,Premium,Spanish,0.0,Yes,31.4,Credit Card,True,True,True,3,True
2017-03-15 00:41:24.958,3062,HTTP,23.105.56.248,977,Others,33,Male,IT,Premium,Chinese,0.0,Yes,21.88,Others,True,True,True,3,True
2017-03-15 00:41:24.958,4610,HTTP,23.105.56.254,4550,Others,18,Male,US,Premium,Chinese,0.0,Yes,4.608,Cash,True,True,False,2,True
2017-03-15 00:42:08.221,2449,HTTP,23.108.13.89,5437,IOS App,49,Female,US,Premium,Chinese,0.0,Yes,30.072,Cash,True,True,True,3,True
2017-03-15 00:43:43.433,3761,HTTP,23.108.86.7,2985,Others,43,Male,US,Premium,Chinese,0.0,Yes,10.23,Cash,True,True,False,2,True
2017-03-15 00:41:39.468,2279,HTTP,23.229.112.219,589,Android App,37,Male,KR,Normal,Chinese,0.0,Yes,95.984,Credit Card,True,True,True,3,True
2017-03-15 00:42:48.771,1714,HTTP,23.245.152.216,579,Microsoft Edge,22,Female,CA,Normal,Chinese,0.0,Yes,6.72,Credit Card,True,True,True,3,True
2017-03-15 00:45:41.144,1716,HTTP,23.245.154.182,2985,Microsoft Edge,56,Female,US,Premium,Chinese,0.0,Yes,108.4,Debit Card,True,True,True,3,True
2017-03-15 00:46:16.030,1523,HTTP,23.250.70.38,40,Others,25,Female,US,Premium,Chinese,0.0,Yes,238.896,Cash,True,True,True,3,True
2017-03-15 00:46:32.247,2356,HTTP,23.25.61.137,46,Safari,39,Female,US,Premium,Chinese,0.0,Yes,41.96,Others,True,True,True,3,True
2017-03-15 00:43:42.426,2783,HTTP,23.29.6.237,1285,IOS App,24,Female,KR,Premium,Chinese,0.0,Yes,115.02,Cash,True,True,True,3,True
2017-03-15 00:47:06.170,2081,HTTP,23.81.250.234,2985,Others,29,Female,AR,Premium,Chinese,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 00:48:45.458,3007,HTTP,23.92.123.183,40,Android App,25,Female,US,Premium,Chinese,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 00:52:18.024,1869,HTTP,23.95.183.160,2985,IOS App,42,Male,US,Premium,Chinese,0.0,No,0.0,Credit Card,True,False,True,2,True
2017-03-15 00:52:18.024,2959,HTTP,23.95.184.152,2889,IOS App,22,Female,US,Premium,Chinese,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 00:53:54.417,2907,HTTP,23.95.41.146,46,Mozilla Firefox,64,Female,US,Premium,Chinese,0.0,No,0.0,Credit Card,True,False,True,2,True
2017-03-15 00:54:58.605,1501,HTTP,24.114.66.46,2985,Android App,53,Male,AT,Premium,Chinese,0.0,No,0.0,Credit Card,True,False,True,2,True
2017-03-15 01:00:54.660,2297,HTTP,24.226.158.221,3077,Mozilla Firefox,31,Male,CN,Premium,Chinese,0.0,Yes,39.98,Cash,True,True,True,3,True
2017-03-15 01:01:24.195,2583,HTTP,24.229.183.217,40,Mozilla Firefox,20,Male,JP,Premium,Chinese,0.0,Yes,75.792,Cash,True,True,True,3,True
2017-03-15 00:59:48.637,1755,HTTP,24.37.184.76,515,Safari,42,Female,AT,Normal,Chinese,0.0,Yes,247.8,Credit Card,True,True,True,3,True
2017-03-15 01:00:48.410,4565,HTTP,24.68.52.88,2163,Mozilla Firefox,58,Female,IT,Premium,Chinese,0.0,Yes,340.92,Cash,True,True,False,2,True
2017-03-15 01:01:59.969,2222,HTTP,27.125.150.224,2163,Chrome,27,Female,CA,Premium,Chinese,0.0,Yes,38.04,Cash,True,True,True,3,True
2017-03-15 01:02:48.650,1673,HTTP,27.255.18.59,515,Others,49,Female,KR,Normal,Chinese,0.0,Yes,979.95,Credit Card,True,True,True,3,True
2017-03-15 01:04:56.454,4015,HTTP,27.6.1.105,3185,Others,61,Male,IT,Premium,Chinese,0.0,Yes,13.96,Credit Card,True,True,False,2,True
2017-03-15 01:07:43.366,1739,HTTP,27.97.65.43,383,Android App,--,Unknown,SE,Not Logged In,Chinese,0.0,No,0.0,Credit Card,True,False,True,2,True
2017-03-15 01:06:50.788,2948,HTTP,31.146.40.74,2351,IOS App,62,Male,CN,Premium,Russian,0.0,Yes,13.23,Credit Card,True,True,True,3,True
2017-03-15 01:09:28.219,3760,HTTP,31.220.6.133,1081,Android App,45,Female,CA,Premium,Chinese,0.0,Yes,47.36,Others,True,True,False,2,True
2017-03-15 01:08:25.634,2878,HTTP,31.42.69.45,3185,Mozilla Firefox,43,Female,IT,Premium,Russian,0.0,Yes,1652.94,Cash,True,True,True,3,True
2017-03-15 01:11:26.470,4738,HTTP,31.46.243.1,2963,Android App,66,Male,US,Premium,French,0.0,Yes,182.72,Debit Card,True,True,False,2,True
2017-03-15 01:08:34.501,4156,HTTP,31.47.87.203,2163,Chrome,38,Male,RU,Premium,Chinese,0.0,Yes,400.032,Others,True,True,False,2,True
2017-03-15 01:08:50.215,2319,HTTP,31.53.66.246,614,IOS App,26,Female,CA,Normal,Chinese,0.0,Yes,18.72,Debit Card,True,True,True,3,True
2017-03-15 01:10:30.826,2942,HTTP,36.73.164.41,2423,Mozilla Firefox,29,Male,SE,Premium,Chinese,0.0,Yes,21.72,Others,True,True,True,3,True
2017-03-15 01:13:08.765,1595,HTTP,36.81.74.79,779,Mozilla Firefox,59,Male,US,Premium,Chinese,0.0,Yes,335.52,Credit Card,True,True,True,3,True
2017-03-15 01:12:48.651,2625,HTTP,36.84.13.97,589,Mozilla Firefox,18,Male,CH,Normal,Chinese,0.0,No,0.0,Credit Card,True,False,True,2,True
2017-03-15 01:13:51.645,2961,HTTP,36.84.70.103,361,Chrome,50,Female,US,Premium,Chinese,0.0,Yes,23.696,Cash,True,True,True,3,True
2017-03-15 00:17:28.380,2891,HTTP,36.84.84.235,264,Chrome,--,Unknown,CA,Not Logged In,Chinese,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 01:17:26.720,3161,HTTP,37.133.154.249,3027,Safari,69,Female,ZA,Premium,Spanish,0.0,Yes,280.782,Others,True,True,True,3,True
2017-03-15 01:14:49.717,2744,HTTP,37.14.158.118,614,Microsoft Edge,54,Male,KR,Normal,Spanish,0.0,Yes,29.99,Others,True,True,True,3,True
2017-03-15 01:16:58.097,3470,HTTP,37.162.142.207,2267,Mozilla Firefox,37,Female,PR,Premium,Chinese,0.0,Yes,12.96,Cash,True,True,False,2,True
2017-03-15 01:21:23.554,4683,HTTP,37.182.254.170,94,Android App,42,Female,IT,Premium,Chinese,0.0,Yes,252.0,Credit Card,True,True,False,2,True
2017-03-15 01:22:02.165,1601,HTTP,37.187.74.195,46,Mozilla Firefox,56,Female,DE,Premium,Chinese,0.0,Yes,15.552,Credit Card,True,True,True,3,True
2017-03-15 01:22:25.941,2823,HTTP,37.187.74.195,46,Chrome,44,Female,US,Premium,Chinese,0.0,Yes,6.096,Debit Card,True,True,True,3,True
2017-03-15 01:21:40.214,4207,HTTP,37.215.85.191,5455,IOS App,23,Female,PL,Premium,Russian,0.0,Yes,520.05,Credit Card,True,True,False,2,True
2017-03-15 01:30:28.327,4003,HTTP,37.73.197.212,277,Microsoft Edge,64,Female,IT,Premium,Russian,0.0,Yes,348.208,Debit Card,True,True,False,2,True
2017-03-15 01:30:03.552,2187,HTTP,38.117.177.233,2283,Others,26,Female,RU,Premium,Chinese,0.0,Yes,6.3,Cash,True,True,True,3,True
2017-03-15 01:30:50.010,2026,HTTP,39.254.18.191,2423,Android App,27,Female,CO,Premium,Chinese,0.0,Yes,287.52,Debit Card,True,True,True,3,True
2017-03-15 01:30:54.066,1717,HTTP,39.35.225.153,3185,Android App,53,Male,US,Premium,Chinese,0.0,Yes,19.98,Others,True,True,True,3,True
2017-03-15 01:34:19.125,2209,HTTP,39.42.183.232,3301,Mozilla Firefox,22,Female,IT,Premium,Chinese,0.0,Yes,159.768,Cash,True,True,True,3,True
2017-03-15 01:31:36.216,3377,HTTP,39.49.18.93,2267,Microsoft Edge,37,Female,IT,Premium,Chinese,0.0,Yes,16.52,Cash,True,True,False,2,True
2017-03-15 01:35:19.007,3575,HTTP,40.78.146.128,46,Others,41,Female,PR,Premium,Chinese,0.0,Yes,892.224,Debit Card,True,True,False,2,True
2017-03-15 01:32:28.570,2389,HTTP,41.114.210.171,2215,IOS App,60,Female,PL,Premium,Chinese,0.0,Yes,338.04,Credit Card,True,True,True,3,True
2017-03-15 01:36:42.228,3863,HTTP,41.138.86.26,46,Android App,20,Female,NO,Premium,Chinese,0.0,Yes,38.82,Cash,True,True,False,2,True
2017-03-15 01:34:36.377,4556,HTTP,41.177.193.181,2267,Microsoft Edge,61,Female,CO,Premium,Chinese,0.0,Yes,83.88,Debit Card,True,True,False,2,True
2017-03-15 01:35:51.304,2276,HTTP,41.190.14.49,2179,IOS App,64,Female,IT,Premium,Chinese,0.0,Yes,419.944,Debit Card,True,True,True,3,True
2017-03-15 01:36:39.702,2337,HTTP,41.190.28.246,1726,Chrome,60,Female,IT,Normal,Chinese,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 01:40:42.133,2229,HTTP,41.190.4.191,46,Mozilla Firefox,60,Female,US,Premium,Chinese,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 01:40:53.831,3104,HTTP,41.191.199.83,46,Android App,18,Female,IT,Premium,Chinese,0.0,Yes,140.736,Credit Card,True,True,True,3,True
2017-03-15 01:40:53.831,3904,HTTP,41.193.203.141,40,Android App,30,Male,CA,Premium,Chinese,0.0,Yes,552.56,Credit Card,True,True,False,2,True
2017-03-15 01:43:02.675,3509,HTTP,41.215.47.126,329,Chrome,32,Male,JP,Premium,Chinese,0.0,Yes,14.04,Credit Card,True,True,False,2,True
2017-03-15 01:42:48.648,2248,HTTP,41.222.180.178,561,Others,66,Female,JP,Normal,Chinese,0.0,No,0.0,Credit Card,True,False,True,2,True
2017-03-15 01:44:49.715,2086,HTTP,41.230.44.251,639,IOS App,22,Female,IN,Normal,French,0.0,Yes,37.74,Cash,True,True,True,3,True
2017-03-15 01:50:34.867,2931,HTTP,41.250.175.111,46,Android App,45,Male,JP,Premium,Chinese,0.0,Yes,36.672,Credit Card,True,True,True,3,True
2017-03-15 01:47:48.636,3887,HTTP,41.45.225.156,515,Android App,32,Female,US,Normal,Chinese,0.0,Yes,88.752,Debit Card,True,True,False,2,True
2017-03-15 01:51:33.884,2967,HTTP,41.58.49.109,46,Android App,42,Female,AR,Premium,Chinese,0.0,Yes,27.46,Debit Card,True,True,True,3,True
2017-03-15 01:49:39.523,2613,HTTP,41.66.255.242,639,Chrome,31,Male,US,Normal,Chinese,0.0,No,0.0,Debit Card,True,False,True,2,True
2017-03-15 00:53:04.616,2008,HTTP,41.73.121.145,991,IOS App,51,Female,CA,Premium,Russian,0.0,Yes,3.76,Cash,True,True,True,3,True
2017-03-15 00:53:04.616,1956,HTTP,41.73.158.94,8653,IOS App,21,Male,SE,Premium,Chinese,0.0,Yes,1212.848,Debit Card,True,True,True,3,True
2017-03-15 01:51:19.156,4934,HTTP,41.78.74.252,3249,Others,55,Male,US,Premium,Chinese,0.0,Yes,16.056,Credit Card,True,True,False,2,True
2017-03-15 01:51:39.466,3856,HTTP,41.79.137.109,589,Others,39,Male,RU,Normal,Chinese,0.0,Yes,9.94,Credit Card,True,True,False,2,True
2017-03-15 01:54:42.603,2427,HTTP,41.82.1.70,46,Others,35,Female,IT,Premium,Chinese,0.0,No,0.0,Credit Card,True,False,True,2,True
2017-03-15 01:56:38.429,3622,HTTP,42.112.86.34,46,Chrome,33,Female,AU,Premium,Chinese,0.0,Yes,26.18,Credit Card,True,True,False,2,True
2017-03-15 01:55:39.470,3897,HTTP,43.228.93.205,515,Android App,62,Male,CA,Normal,tegulu,0.0,Yes,21.48,Credit Card,True,True,False,2,True
2017-03-15 01:58:40.750,3764,HTTP,43.239.218.128,2157,Mozilla Firefox,68,Female,JP,Premium,Chinese,0.0,Yes,23.952,Cash,True,True,False,2,True
2017-03-15 01:55:42.622,3108,HTTP,43.241.144.122,3185,Mozilla Firefox,54,Female,GB,Premium,Chinese,0.0,Yes,170.88,Credit Card,True,True,True,3,True
2017-03-15 01:56:20.599,2986,HTTP,43.252.64.140,3185,Microsoft Edge,52,Female,IT,Premium,Chinese,0.0,Yes,15.992,Credit Card,True,True,True,3,True
2017-03-15 01:57:05.308,4671,HTTP,45.124.141.130,3185,Chrome,37,Female,IT,Premium,Chinese,0.0,Yes,10.688,Debit Card,True,True,False,2,True
2017-03-15 01:58:31.438,4905,HTTP,45.42.48.10,3185,Mozilla Firefox,47,Male,IT,Premium,Chinese,0.0,Yes,18.97,Cash,True,True,False,2,True
2017-03-15 01:58:31.438,2068,HTTP,45.45.150.235,2163,Mozilla Firefox,41,Female,IT,Premium,Chinese,0.0,Yes,14.82,Cash,True,True,True,3,True
2017-03-15 01:58:55.472,3458,HTTP,45.46.197.33,2267,Mozilla Firefox,59,Male,IN,Premium,Chinese,0.0,Yes,853.092,Cash,True,True,False,2,True
2017-03-15 02:02:50.618,1871,HTTP,45.56.98.252,3261,Microsoft Edge,53,Female,CH,Premium,Chinese,0.0,Yes,43.86,Others,True,True,True,3,True
2017-03-15 02:02:33.807,2222,HTTP,45.61.35.152,387,Safari,--,Unknown,US,Not Logged In,Chinese,0.0,No,0.0,Others,True,False,True,2,True
2017-03-15 02:02:33.807,1597,HTTP,45.61.46.146,819,Safari,--,Unknown,CN,Not Logged In,Chinese,0.0,No,0.0,Credit Card,True,False,True,2,True
2017-03-15 02:01:41.336,2711,HTTP,45.61.46.30,639,Chrome,21,Male,US,Normal,Chinese,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 02:02:48.650,4953,HTTP,45.72.11.206,515,Android App,37,Male,JP,Normal,Chinese,0.0,Yes,600.16,Credit Card,True,True,False,2,True
2017-03-15 02:03:22.430,4795,HTTP,45.76.100.32,3185,Mozilla Firefox,51,Male,CH,Premium,Chinese,0.0,Yes,5250.0,Others,True,True,False,2,True
2017-03-15 02:04:39.464,1669,HTTP,46.101.161.24,515,IOS App,46,Female,IT,Normal,Chinese,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 02:04:39.516,3509,HTTP,46.101.232.157,586,IOS App,47,Male,US,Normal,Chinese,0.0,Yes,600.16,Cash,True,True,False,2,True
2017-03-15 02:07:39.521,4144,HTTP,46.133.196.135,586,IOS App,67,Male,IT,Normal,Russian,0.0,Yes,162.64,Credit Card,True,True,False,2,True
2017-03-15 02:11:31.365,3591,HTTP,46.134.51.108,46,Others,32,Male,CH,Premium,polish,0.0,Yes,1500.4,Others,True,True,False,2,True
2017-03-15 02:12:51.743,1751,HTTP,46.149.89.45,46,Android App,22,Female,US,Premium,Spanish,0.0,Yes,1200.32,Credit Card,True,True,True,3,True
2017-03-15 02:11:48.638,1667,HTTP,46.17.100.75,586,Chrome,46,Male,PR,Normal,Chinese,0.0,Yes,26.15,Credit Card,True,True,True,3,True
2017-03-15 02:11:59.261,4899,HTTP,46.171.199.234,3238,Chrome,22,Male,RU,Premium,Chinese,0.0,Yes,60.6,Credit Card,True,True,False,2,True
2017-03-15 02:12:48.760,2705,HTTP,46.182.228.44,1726,Microsoft Edge,39,Male,IT,Normal,Chinese,0.0,Yes,15.69,Cash,True,True,True,3,True
2017-03-15 02:15:43.546,2045,HTTP,46.201.199.120,3249,IOS App,36,Female,US,Premium,Russian,0.0,Yes,162.64,Debit Card,True,True,True,3,True
2017-03-15 02:16:28.019,1962,ICMP ,46.211.201.231,46,Chrome,66,Female,IT,Premium,Russian,0.0,Yes,1200.32,Cash,True,True,True,3,True
2017-03-15 02:16:27.146,1878,HTTP,46.211.205.2,3237,Chrome,43,Female,PR,Premium,Russian,0.0,Yes,162.64,Others,True,True,True,3,True
2017-03-15 02:16:39.510,1718,HTTP,46.211.254.21,586,Others,60,Female,US,Normal,Russian,0.0,Yes,1200.32,Debit Card,True,True,True,3,True
2017-03-15 02:17:42.244,3301,HTTP,46.246.56.148,2319,Android App,35,Female,IT,Premium,Chinese,0.0,Yes,1050.0,Cash,True,True,False,2,True
2017-03-15 02:21:22.914,2689,HTTP,46.248.189.244,3313,IOS App,69,Female,US,Premium,Chinese,0.0,Yes,1200.32,Cash,True,True,True,3,True
2017-03-15 02:22:02.833,3196,HTTP,46.26.10.209,46,Microsoft Edge,26,Female,RU,Premium,Chinese,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 02:25:06.643,2746,HTTP,47.90.23.204,2179,Others,39,Male,CA,Premium,Chinese,0.0,Yes,5.23,Others,True,True,True,3,True
2017-03-15 02:25:22.515,1854,HTTP,47.90.23.204,2267,Others,46,Female,AT,Premium,Chinese,0.0,Yes,1200.32,Cash,True,True,True,3,True
2017-03-15 02:27:54.448,2049,HTTP,49.202.44.88,3265,Others,44,Female,US,Premium,Chinese,0.0,Yes,121.98,Debit Card,True,True,True,3,True
2017-03-15 02:31:34.291,2056,HTTP,49.202.96.160,92,Others,--,Unknown,US,Not Logged In,Chinese,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 02:28:39.533,2426,HTTP,49.206.126.185,540,Safari,56,Female,JP,Normal,Chinese,0.0,Yes,600.16,Debit Card,True,True,True,3,True
2017-03-15 02:31:40.790,2319,HTTP,49.245.16.125,614,Android App,59,Male,IN,Normal,Chinese,0.0,Yes,5.23,Credit Card,True,True,True,3,True
2017-03-15 02:35:12.654,1922,HTTP,49.249.40.158,465,Android App,29,Male,SE,Premium,Chinese,0.0,Yes,143.36,Others,True,True,True,3,True
2017-03-15 02:32:49.679,4091,HTTP,49.32.32.219,1726,Mozilla Firefox,54,Male,IT,Normal,Chinese,0.0,Yes,45.45,Others,True,True,False,2,True
2017-03-15 02:37:51.115,3456,HTTP,49.32.56.89,40,Microsoft Edge,31,Female,DE,Premium,Chinese,0.0,Yes,107.52,Credit Card,True,True,False,2,True
2017-03-15 02:38:18.031,2863,HTTP,49.32.56.94,925,Microsoft Edge,61,Female,US,Premium,Chinese,0.0,Yes,1050.0,Cash,True,True,True,3,True
2017-03-15 02:37:22.126,3174,HTTP,49.32.76.87,3185,Safari,43,Female,CN,Premium,Chinese,0.0,Yes,900.24,Credit Card,True,True,True,3,True
2017-03-15 02:37:39.462,4753,HTTP,49.34.81.64,556,IOS App,41,Male,GB,Normal,Chinese,0.0,Yes,600.16,Cash,True,True,False,2,True
2017-03-15 02:38:49.576,1511,HTTP,49.96.24.53,639,Mozilla Firefox,48,Female,JP,Normal,Chinese,0.0,Yes,1200.34,Debit Card,True,True,True,3,True
2017-03-15 02:38:49.576,4745,HTTP,49.96.43.230,614,Mozilla Firefox,67,Female,GB,Normal,Chinese,0.0,Yes,162.64,Cash,True,True,False,2,True
2017-03-15 02:42:20.376,3066,HTTP,49.97.100.87,92,Android App,--,Unknown,IT,Not Logged In,Japanese,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 02:42:20.376,2364,HTTP,49.97.101.165,44,Android App,--,Unknown,CH,Not Logged In,Chinese,0.0,No,0.0,Credit Card,True,False,True,2,True
2017-03-15 02:43:29.153,2465,HTTP,49.98.169.111,11424,Android App,--,Unknown,RU,Not Logged In,Chinese,0.0,No,0.0,Cash,True,False,True,2,True
2017-03-15 02:41:07.928,4911,HTTP,50.101.252.246,3237,Android App,37,Male,IT,Premium,Chinese,0.0,Yes,20.92,Credit Card,True,True,False,2,True
2017-03-15 02:42:48.759,2548,HTTP,50.138.136.208,579,Microsoft Edge,69,Female,IT,Normal,Chinese,0.0,No,0.0,Credit Card,True,False,True,2,True
2017-03-15 02:44:48.633,2361,HTTP,50.167.79.45,702,Safari,34,Female,IE,Normal,Chinese,0.0,No,0.0,Credit Card,True,False,True,2,True
